,DIVIDENDID,EXDATE,PAYDATE,RECORDDATE,ANNOUNCEDDATE,DIVAMOUNT,TRADINGITEMID,EXCHANGEID,CURRENCYID,DIVFREQTYPEID,DIVIDENDTYPEID,SUPPLEMENTALTYPEID,NETAMOUNT,GROSSAMOUNT,DIVIDENDPAYMENTTYPEID,DIVIDENDPAYMENTTYPENAME,SUPPLEMENTALTYPEID,SUPPLEMENTALTYPENAME
97,10580273,2025-12-31,2026-01-05,2025-12-31,,0.19016,576700812,810.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
98,10580896,2025-12-31,2026-01-05,2025-12-31,,0.10712,577241911,810.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
99,10584134,2025-12-31,2026-01-05,2025-12-31,2025-01-14,0.041,1674017890,117.0,160.0,1.0,1,1.0,,0.041,1.0,Cash,1.0,Regular cash dividend
100,10584193,2025-12-31,2026-01-05,2025-12-31,2025-12-30,0.13,1844794542,117.0,160.0,1.0,1,1.0,,0.13,1.0,Cash,1.0,Regular cash dividend
101,10584176,2025-12-31,2026-01-05,2025-12-31,2025-02-07,0.42709,668959825,117.0,160.0,1.0,1,1.0,,0.42709,1.0,Cash,1.0,Regular cash dividend
102,10599405,2025-12-31,2025-12-31,2025-12-31,,0.0386795,54849502,467.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
103,10580895,2025-12-31,2026-01-05,2025-12-31,,0.15593,579496982,810.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
104,10603791,2025-12-31,2025-12-31,2025-12-31,,0.0346269,54849053,467.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
105,10600127,2025-12-31,2026-01-02,2025-12-31,,0.042701,269515510,467.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
106,10579074,2025-12-30,2026-01-02,2025-12-30,2025-01-21,0.1522,583838602,117.0,160.0,1.0,1,1.0,,0.1522,1.0,Cash,1.0,Regular cash dividend
107,10577142,2025-12-30,2026-01-05,2025-12-30,,0.3314134,433090255,810.0,160.0,2.0,1,1.0,,,2.0,Stock,1.0,Regular cash dividend
108,10578920,2025-12-30,2026-01-02,2025-12-30,2025-02-06,0.213,272925421,117.0,160.0,1.0,1,1.0,,0.213,1.0,Cash,1.0,Regular cash dividend
109,10578845,2025-12-30,2026-01-05,2025-12-30,2025-02-18,0.15916,1800704498,117.0,160.0,31.0,4,31.0,,0.15916,,,31.0,Special dividend
110,10578984,2025-12-30,2026-01-07,2025-12-30,2025-01-06,0.237339,1838104192,117.0,160.0,3.0,1,1.0,,0.237339,3.0,Spin-off,1.0,Regular cash dividend
111,10578807,2025-12-30,2025-12-31,2025-12-30,2025-01-07,0.1946,1792530424,117.0,160.0,1.0,1,1.0,,0.1946,1.0,Cash,1.0,Regular cash dividend
112,10576943,2025-12-30,2025-12-31,2025-12-30,,0.152305,426602025,810.0,160.0,2.0,1,1.0,,,2.0,Stock,1.0,Regular cash dividend
113,10577047,2025-12-30,2025-12-31,2025-12-30,,0.091179,403050806,810.0,160.0,2.0,1,1.0,,,2.0,Stock,1.0,Regular cash dividend
114,10578922,2025-12-30,2026-01-02,2025-12-30,2025-02-06,0.267,272925419,117.0,160.0,1.0,1,1.0,,0.267,1.0,Cash,1.0,Regular cash dividend
115,10576619,2025-12-30,2026-01-02,2025-12-30,,0.199,560654901,810.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
116,10578931,2025-12-30,2026-01-05,2025-12-30,2024-12-24,0.215,331434539,117.0,160.0,1.0,1,1.0,,0.215,1.0,Cash,1.0,Regular cash dividend
117,10577287,2025-12-30,2026-01-07,2025-12-30,,0.130284,415556337,810.0,160.0,3.0,8,43.0,,,3.0,Spin-off,43.0,Long term capital gains only
118,10578963,2025-12-30,2026-01-07,2025-12-30,2025-01-06,2.084331,115488470,117.0,160.0,3.0,1,1.0,,2.084331,3.0,Spin-off,1.0,Regular cash dividend
119,10576730,2025-12-30,2026-01-05,2025-12-30,,0.221598,1857090433,810.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
120,10579025,2025-12-30,2026-01-05,2025-12-30,2025-05-07,0.0736,531921792,117.0,160.0,1.0,1,1.0,,0.0736,1.0,Cash,1.0,Regular cash dividend
121,10577335,2025-12-30,2026-01-07,2025-12-30,2025-12-29,0.011859,641972076,104.0,160.0,3.0,1,1.0,,,3.0,Spin-off,1.0,Regular cash dividend
122,10576904,2025-12-30,2026-01-05,2025-12-30,2025-12-29,0.35369,320444083,104.0,160.0,2.0,1,1.0,,,2.0,Stock,1.0,Regular cash dividend
123,10579219,2025-12-30,2025-12-31,2025-12-30,2025-01-15,0.73817441,1901885064,117.0,160.0,4.0,1,1.0,,,4.0,Rights,1.0,Regular cash dividend
124,10577336,2025-12-30,2026-01-07,2025-12-30,2025-12-29,0.045113,549116908,104.0,160.0,3.0,1,1.0,,,3.0,Spin-off,1.0,Regular cash dividend
125,10579073,2025-12-30,2026-01-02,2025-12-30,2025-01-21,0.2261,550425248,117.0,160.0,1.0,1,1.0,,0.2261,1.0,Cash,1.0,Regular cash dividend
126,10579005,2025-12-30,2026-01-02,2025-12-30,2025-01-06,0.138117,546670679,117.0,160.0,1.0,1,1.0,,0.138117,1.0,Cash,1.0,Regular cash dividend
127,10578958,2025-12-30,2026-01-07,2025-12-30,2025-01-02,0.1,528761402,117.0,160.0,1.0,1,1.0,,0.1,1.0,Cash,1.0,Regular cash dividend
128,10579155,2025-12-30,2025-12-31,2025-12-30,2025-01-24,0.61136,600490106,117.0,160.0,3.0,1,1.0,,0.61136,3.0,Spin-off,1.0,Regular cash dividend
129,10578051,2025-12-30,2026-01-05,2025-12-30,,0.590779,302883759,810.0,160.0,4.0,1,1.0,,,4.0,Rights,1.0,Regular cash dividend
130,10602608,2025-12-30,2025-12-31,2025-12-29,,0.3785,414794858,467.0,160.0,4.0,1,1.0,,,4.0,Rights,1.0,Regular cash dividend
131,10577391,2025-12-30,2026-01-07,2025-12-30,,0.198087,415556337,810.0,160.0,3.0,1,1.0,,,3.0,Spin-off,1.0,Regular cash dividend
132,10577024,2025-12-30,2026-01-05,2025-12-30,,0.4978127,382012016,810.0,160.0,2.0,1,1.0,,,2.0,Stock,1.0,Regular cash dividend
133,10578919,2025-12-30,2026-01-02,2025-12-30,2025-02-06,0.302,570843073,117.0,160.0,1.0,1,1.0,,0.302,1.0,Cash,1.0,Regular cash dividend
134,10579003,2025-12-30,2026-01-02,2025-12-30,2025-01-06,0.246894,426931745,117.0,160.0,1.0,1,1.0,,0.246894,1.0,Cash,1.0,Regular cash dividend
135,10578870,2025-12-30,2025-12-31,2025-12-30,2025-01-10,0.8328249,690527341,117.0,160.0,2.0,1,1.0,,0.8328249,2.0,Stock,1.0,Regular cash dividend
136,10578921,2025-12-30,2026-01-02,2025-12-30,2025-02-04,0.194,272925420,117.0,160.0,1.0,1,1.0,,0.194,1.0,Cash,1.0,Regular cash dividend
137,10576745,2025-12-30,2026-01-02,2025-12-30,,0.286823,1671908736,810.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
138,10577025,2025-12-30,2026-01-05,2025-12-30,,0.6167248,413325398,810.0,160.0,2.0,1,1.0,,,2.0,Stock,1.0,Regular cash dividend
139,10578960,2025-12-30,2026-01-07,2025-12-30,2025-01-06,0.908127,105852382,117.0,160.0,3.0,1,1.0,,0.908127,3.0,Spin-off,1.0,Regular cash dividend
140,10579098,2025-12-29,2025-12-31,2025-12-29,2024-12-24,0.138984,306410320,117.0,160.0,1.0,1,1.0,,0.138984,1.0,Cash,1.0,Regular cash dividend
141,10578856,2025-12-29,2025-12-31,2025-12-29,2025-05-05,0.07839,530390173,117.0,160.0,1.0,1,1.0,,0.07839,1.0,Cash,1.0,Regular cash dividend
142,10578818,2025-12-29,2026-01-02,2025-12-29,2025-12-26,0.3923,662912239,117.0,160.0,2.0,1,1.0,,0.3923,2.0,Stock,1.0,Regular cash dividend
143,10573429,2025-12-29,2025-12-31,2025-12-29,2025-12-26,0.1599,183593359,104.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
144,10578874,2025-12-29,2025-12-30,2025-12-29,2025-01-17,0.1930629,588535135,117.0,160.0,2.0,1,1.0,,0.1930629,2.0,Stock,1.0,Regular cash dividend
145,10573433,2025-12-29,2025-12-31,2025-12-29,,0.1184,39364561,810.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
146,10579211,2025-12-29,2025-12-31,2025-12-29,2024-12-17,0.139,111707494,117.0,160.0,1.0,1,1.0,,0.139,1.0,Cash,1.0,Regular cash dividend
147,10573434,2025-12-29,2025-12-31,2025-12-29,,0.18,52806878,810.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
148,10579031,2025-12-29,2025-12-31,2025-12-29,2025-03-17,0.4663,312462645,117.0,160.0,3.0,1,1.0,,0.4663,3.0,Spin-off,1.0,Regular cash dividend
149,10578824,2025-12-29,2026-01-02,2025-12-29,2025-12-26,0.3882,665296347,117.0,160.0,1.0,1,1.0,,0.3882,1.0,Cash,1.0,Regular cash dividend
150,10573432,2025-12-29,2025-12-31,2025-12-29,,0.0575,39861115,810.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
151,10573108,2025-12-29,2025-12-31,2025-12-29,,0.5968,690527461,810.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
152,10573661,2025-12-29,2026-01-02,2025-12-29,,0.22396,1794058961,810.0,160.0,2.0,1,1.0,,,2.0,Stock,1.0,Regular cash dividend
153,10573431,2025-12-29,2025-12-31,2025-12-29,,0.0405,41623261,810.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
